1.327372+0.411601j, 0.980009+1.036178j, 0.523762+1.370092j, -0.153165+1.370376j, -0.799097+1.229995j, -1.163694+0.786145j, -1.392555+0.099574j, -1.369370-0.472570j, 0.891154+1.052054j, 0.336992+1.426395j, -0.225635+1.400952j, -0.873605+1.089381j, -1.290430+0.685260j, -1.370568+0.040425j, -1.278551-0.643200j, -0.924895-1.066516j, 0.198892+1.382290j, -0.401285+1.418958j, -0.906075+1.038301j, -1.346098+0.501367j, -1.430680-0.047009j, -1.178817-0.696943j, -0.797974-1.208405j, -0.215422-1.352163j, -0.566283+1.319868j, -1.024852+1.009458j, -1.319140+0.390029j, -1.437747-0.240723j, -1.150883-0.752154j, -0.626924-1.248266j, -0.091545-1.429926j, 0.543001-1.233562j, -1.163272+0.885280j, -1.360690+0.336333j, -1.347811-0.384749j, -1.123238-0.910625j, -0.549990-1.236120j, 0.097771-1.430413j, 0.630208-1.249525j, 1.151548-0.753088j, -1.442785+0.205841j, -1.295412-0.427861j, -0.984388-1.043485j, -0.496896-1.314385j, 0.216165-1.353023j, 0.801221-1.207946j, 1.171096-0.709813j, 1.425273-0.048421j, -1.320322-0.531244j, -0.861435-1.067263j, -0.338577-1.406142j, 0.264348-1.338635j, 0.923773-1.074295j, 1.282580-0.641146j, 1.366898+0.037849j, 1.293271+0.684986j, -0.819646-1.099515j, -0.159875-1.388406j, 0.398260-1.376860j, 0.942706-0.967421j, 1.371611-0.470369j, 1.393953+0.105995j, 1.171042+0.781229j, 0.798907+1.231160j, 
1.170142+0.824001j, 0.581580+1.214832j, -0.008062+1.472125j, -0.547286+1.278964j, -1.145560+0.832958j, -1.430741+0.364410j, -1.331879-0.306057j, -1.124936-0.954256j, 0.562816+1.268909j, -0.173580+1.382765j, -0.720791+1.287182j, -1.124963+0.767501j, -1.460287+0.149144j, -1.373069-0.372496j, -0.971169-0.984947j, -0.527888-1.384479j, -0.204868+1.340427j, -0.897357+1.154085j, -1.239376+0.749418j, -1.381873+0.027181j, -1.377932-0.578257j, -0.933101-1.003086j, -0.317406-1.394766j, 0.208550-1.424137j, -0.915195+1.021949j, -1.369144+0.596051j, -1.387012-0.002172j, -1.236052-0.720562j, -0.911916-1.146277j, -0.232909-1.334346j, 0.426973-1.406753j, 0.873068-1.068533j, -1.361403+0.396253j, -1.472554-0.129002j, -1.143990-0.743718j, -0.736306-1.275606j, -0.193247-1.388577j, 0.536265-1.269339j, 1.050138-1.017298j, 1.275520-0.403783j, -1.430037-0.347306j, -1.159005-0.817722j, -0.570716-1.261483j, -0.025821-1.470831j, 0.560781-1.226244j, 1.154425-0.841567j, 1.373026-0.351937j, 1.296288+0.376575j, -1.099023-1.010166j, -0.528671-1.257191j, 0.176788-1.420358j, 0.686363-1.264911j, 1.139411-0.713668j, 1.450195-0.163303j, 1.306687+0.406338j, 0.930228+1.046569j, -0.467290-1.378331j, 0.239501-1.333732j, 0.876875-1.177116j, 1.183307-0.702947j, 1.389765+0.014446j, 1.338302+0.564814j, 0.853033+1.033136j, 0.288448+1.431455j, 
0.795122+1.174906j, 0.203102+1.374739j, -0.452508+1.324215j, -0.987093+1.009977j, -1.320108+0.457888j, -1.410729-0.178678j, -1.196155-0.755924j, -0.728453-1.222298j, 0.082388+1.409622j, -0.555446+1.272425j, -1.088182+0.912659j, -1.363269+0.355328j, -1.377442-0.302935j, -1.139145-0.877741j, -0.629798-1.267506j, -0.003089-1.434919j, -0.657889+1.234009j, -1.151092+0.802980j, -1.406513+0.229180j, -1.345285-0.400179j, -1.046030-0.976273j, -0.530919-1.333359j, 0.111061-1.413004j, 0.715961-1.245330j, -1.198079+0.714605j, -1.413004+0.091569j, -1.324173-0.520926j, -0.948534-1.044305j, -0.406066-1.384014j, 0.212808-1.402674j, 0.828410-1.151972j, 1.250091-0.705275j, -1.396661-0.023865j, -1.270552-0.651422j, -0.878906-1.115320j, -0.275794-1.396845j, 0.346371-1.400989j, 0.906426-1.079043j, 1.311226-0.572188j, 1.413099+0.029103j, -1.206555-0.749827j, -0.776817-1.213741j, -0.173588-1.405657j, 0.477273-1.362122j, 0.998581-1.012477j, 1.330409-0.448405j, 1.412138+0.170555j, 1.175510+0.747565j, -0.651650-1.277409j, -0.053002-1.433313j, 0.585931-1.286154j, 1.098094-0.928743j, 1.364880-0.358851j, 1.375774+0.307268j, 1.126763+0.866549j, 0.603917+1.251680j, 0.089628-1.437571j, 0.672176-1.246233j, 1.174526-0.808657j, 1.406794-0.238132j, 1.340153+0.402176j, 1.031983+0.974651j, 0.508236+1.301075j, -0.151403+1.390393j, 
0.455880+1.327817j, -0.350582+1.312755j, -0.887655+1.210902j, -1.162267+0.613103j, -1.453089-0.087912j, -1.323301-0.539045j, -0.761667-1.093067j, -0.297309-1.481829j, -0.324268+1.287070j, -1.040103+0.999381j, -1.304104+0.605688j, -1.304420-0.161339j, -1.271828-0.797187j, -0.789520-1.091558j, -0.057456-1.417467j, 0.428523-1.421670j, -0.987028+0.857313j, -1.446573+0.384933j, -1.343164-0.146664j, -1.057065-0.902110j, -0.742162-1.283237j, -0.032549-1.316685j, 0.676412-1.337544j, 1.023130-0.970258j, -1.359447+0.169876j, -1.448609-0.333149j, -0.989054-0.852976j, -0.497001-1.395770j, -0.013537-1.413858j, 0.744594-1.141005j, 1.248943-0.884810j, 1.317394-0.252250j, -1.334666-0.575213j, -1.048218-0.957383j, -0.342269-1.296392j, 0.226663-1.504698j, 0.706191-1.141331j, 1.305899-0.630020j, 1.469793-0.193889j, 1.225028+0.536432j, -0.930371-1.181901j, -0.360400-1.289771j, 0.431646-1.362949j, 0.878280-1.195464j, 1.222370-0.536042j, 1.516413+0.072149j, 1.278886+0.545387j, 0.771265+1.164514j, -0.263570-1.462098j, 0.424272-1.245364j, 1.097201-1.030331j, 1.281404-0.561473j, 1.372920+0.231647j, 1.309127+0.765069j, 0.735757+1.110074j, 0.083266+1.473748j, 0.472282-1.331326j, 1.093852-0.832118j, 1.473048-0.412377j, 1.316434+0.212072j, 1.122188+0.952994j, 0.752248+1.245730j, -0.023741+1.325708j, -0.640794+1.368693j, 
-0.083734+1.592632j, -0.625770+1.082100j, -1.376030+0.700134j, -1.387567+0.341553j, -1.161195-0.557899j, -1.131669-1.117902j, -0.478097-1.152984j, 0.386498-1.417461j, -0.727005+1.283078j, -1.190084+0.483851j, -1.593363+0.036510j, -1.203565-0.419272j, -0.762247-1.228870j, -0.488458-1.422036j, 0.336434-1.181245j, 1.054655-1.170985j, -1.143874+0.626211j, -1.400117-0.275774j, -1.398998-0.630835j, -0.660374-1.026118j, -0.122694-1.560276j, 0.265366-1.320564j, 1.067363-0.833930j, 1.447484-0.604260j, -1.213371-0.181180j, -1.211713-0.968441j, -0.825943-1.106682j, 0.096203-1.318762j, 0.558467-1.466468j, 0.899320-0.840016j, 1.502541-0.222902j, 1.444683+0.111372j, -0.905015-0.932246j, -0.682963-1.423923j, -0.039333-1.245675j, 0.850173-1.209983j, 1.091548-0.982847j, 1.259622-0.101684j, 1.530138+0.481506j, 1.053557+0.781023j, -0.303909-1.425160j, 0.025393-1.492039j, 0.740598-0.987187j, 1.396147-0.754215j, 1.295146-0.245163j, 1.232065+0.691080j, 1.140567+1.070859j, 0.341818+1.194809j, 0.404298-1.516451j, 0.693381-1.139119j, 1.303434-0.418158j, 1.569036-0.084481j, 1.105505+0.546741j, 0.839174+1.312285j, 0.463102+1.347514j, -0.472178+1.250795j, 1.017711-1.191331j, 1.138795-0.468436j, 1.503439+0.300295j, 1.312294+0.595243j, 0.584859+1.168154j, 0.202921+1.596034j, -0.316157+1.238172j, -1.164149+0.917195j, 
-0.801329+1.326551j, -1.017802+0.971010j, -1.341455+0.120797j, -1.545524-0.345124j, -1.009971-0.780248j, -0.469486-1.428199j, -0.104425-1.454022j, 0.697283-1.077724j, -1.325753+0.869577j, -1.270393+0.219303j, -1.341263-0.639251j, -1.146387-0.945544j, -0.332691-1.234683j, 0.225431-1.556203j, 0.613433-1.152301j, 1.290588-0.568888j, -1.508095+0.176838j, -1.138238-0.584245j, -0.963054-1.246033j, -0.454128-1.259961j, 0.456821-1.318275j, 0.867029-1.266447j, 1.121121-0.535006j, 1.523194+0.119775j, -1.262455-0.532788j, -0.655116-1.218775j, -0.325855-1.527146j, 0.347754-1.194737j, 1.127400-1.008524j, 1.250421-0.639699j, 1.283947+0.261839j, 1.335599+0.798886j, -0.667099-1.075213j, 0.035341-1.511284j, 0.390559-1.381078j, 1.036025-0.770582j, 1.505554-0.419382j, 1.266580+0.146243j, 1.052061+1.000464j, 0.793320+1.263599j, 0.117876-1.279869j, 0.729898-1.389724j, 0.963449-0.862555j, 1.422727-0.094629j, 1.468014+0.280170j, 0.895557+0.870315j, 0.509319+1.469735j, 0.042149+1.348946j, 0.882019-1.087296j, 1.239550-0.887314j, 1.230013-0.099965j, 1.404505+0.635315j, 1.036495+0.897649j, 0.238737+1.333143j, -0.187214+1.552988j, -0.698509+1.058947j, 1.407596-0.576207j, 1.378801-0.165807j, 1.118552+0.695012j, 0.986444+1.206277j, 0.314761+1.220868j, -0.508329+1.407345j, -0.824426+1.220733j, -1.222875+0.432060j, 
-1.082240+0.860230j, -1.420444+0.437895j, -1.312860-0.232212j, -1.151168-0.933613j, -0.746562-1.219955j, 0.017548-1.370936j, 0.601215-1.385865j, 1.002655-0.911981j, -1.439197+0.201566j, -1.400850-0.300207j, -0.980277-0.937918j, -0.591161-1.391184j, 0.016805-1.361930j, 0.762557-1.227516j, 1.148005-0.908136j, 1.319947-0.195456j, -1.401911-0.523729j, -0.984368-0.942430j, -0.358542-1.386729j, 0.139669-1.472625j, 0.752257-1.104935j, 1.307796-0.728172j, 1.369544-0.185347j, 1.259875+0.578202j, -0.979891-1.126952j, -0.297636-1.311352j, 0.377354-1.446840j, 0.809278-1.152840j, 1.279482-0.528944j, 1.492913-0.019446j, 1.198803+0.569404j, 0.817226+1.196750j, -0.282372-1.391496j, 0.480371-1.289159j, 1.026801-1.102170j, 1.247314-0.506376j, 1.430406+0.211510j, 1.265062+0.675978j, 0.672907+1.146222j, 0.151504+1.478774j, 0.477265-1.264497j, 1.135978-0.897826j, 1.383997-0.463647j, 1.303463+0.272672j, 1.180789+0.903128j, 0.681430+1.170306j, -0.060254+1.393353j, -0.566616+1.348231j, 1.095823-0.782853j, 1.475274-0.247785j, 1.339670+0.297007j, 0.980075+0.975568j, 0.600783+1.340359j, -0.088811+1.312282j, -0.794087+1.229030j, -1.122589+0.846517j, 1.383704-0.056667j, 1.396668+0.479444j, 0.924419+0.951122j, 0.368292+1.403553j, -0.138143+1.401060j, -0.828838+1.058140j, -1.304789+0.717683j, -1.337026+0.100944j, 
-1.262294+0.481532j, -1.426670-0.163113j, -1.201133-0.690430j, -0.704701-1.195212j, -0.172943-1.444008j, 0.458568-1.298377j, 1.076023-0.978318j, 1.347410-0.489182j, -1.345877-0.279183j, -1.166204-0.858676j, -0.638378-1.213150j, 0.015896-1.431821j, 0.568372-1.320225j, 1.087787-0.852956j, 1.433348-0.345081j, 1.375593+0.267888j, -1.020538-0.974863j, -0.580630-1.304412j, 0.114398-1.371963j, 0.746131-1.258053j, 1.140554-0.819154j, 1.415868-0.165594j, 1.408222+0.410981j, 1.006793+0.947704j, -0.404516-1.400936j, 0.177753-1.385525j, 0.837797-1.129605j, 1.267201-0.739807j, 1.381186-0.087994j, 1.333795+0.594586j, 0.984396+1.028666j, 0.347494+1.347392j, 0.327031-1.426052j, 0.877380-1.061591j, 1.342847-0.562126j, 1.430218-0.002474j, 1.223302+0.673100j, 0.882643+1.172293j, 0.284575+1.351528j, -0.406388+1.358807j, 0.984098-1.044395j, 1.316317-0.435563j, 1.473759+0.170378j, 1.199344+0.711708j, 0.713938+1.229410j, 0.185445+1.425445j, -0.488836+1.278656j, -1.063794+0.985474j, 1.346403-0.381251j, 1.391154+0.328102j, 1.181843+0.849441j, 0.612567+1.237306j, -0.000757+1.444096j, -0.548364+1.281414j, -1.107321+0.831705j, -1.401307+0.338582j, 1.324634+0.389083j, 1.065329+1.006277j, 0.577015+1.294363j, -0.133487+1.386291j, -0.711691+1.267687j, -1.119308+0.771000j, -1.411648+0.148674j, -1.350046-0.410139j, 
-1.386930+0.041418j, -1.208196-0.681471j, -0.905847-1.146679j, -0.254214-1.312132j, 0.432469-1.379157j, 0.891578-1.082055j, 1.285847-0.466274j, 1.475517+0.089571j, -1.149088-0.698014j, -0.717785-1.245824j, -0.201693-1.392092j, 0.513212-1.256955j, 1.068948-1.002480j, 1.290081-0.431674j, 1.405985+0.284672j, 1.214913+0.792168j, -0.574705-1.220608j, -0.011761-1.457826j, 0.549661-1.243464j, 1.154128-0.818589j, 1.403847-0.346105j, 1.316591+0.350597j, 1.115830+0.975842j, 0.620459+1.255999j, 0.173272-1.386662j, 0.700871-1.266433j, 1.135076-0.722563j, 1.460576-0.141116j, 1.340421+0.404276j, 0.957632+1.028160j, 0.512301+1.390991j, -0.141248+1.359363j, 0.884802-1.154670j, 1.201834-0.708390j, 1.380602+0.009755j, 1.356309+0.583509j, 0.897950+1.030497j, 0.301527+1.420214j, -0.229591+1.426030j, -0.865266+1.069963j, 1.344949-0.578543j, 1.362330+0.041452j, 1.234224+0.757223j, 0.882267+1.151460j, 0.196651+1.362936j, -0.427449+1.425702j, -0.890826+1.061312j, -1.341801+0.473422j, 1.437096+0.149491j, 1.118489+0.781634j, 0.722119+1.296762j, 0.157173+1.388657j, -0.576366+1.294262j, -1.053815+1.025625j, -1.304176+0.392906j, -1.435732-0.269469j, 1.120363+0.833060j, 0.540575+1.298257j, 0.017235+1.485726j, -0.602267+1.228958j, -1.187120+0.866489j, -1.370188+0.344344j, -1.322886-0.383973j, -1.125068-0.934205j, 
-1.308310-0.560880j, -0.861263-1.057933j, -0.304416-1.405397j, 0.271670-1.374706j, 0.908249-1.077012j, 1.314362-0.647836j, 1.388752-0.009450j, 1.289143+0.661104j, -0.830126-1.130917j, -0.172457-1.377796j, 0.433040-1.388086j, 0.946191-1.010649j, 1.365476-0.473831j, 1.441181+0.090092j, 1.183060+0.744294j, 0.798096+1.229200j, -0.103397-1.374177j, 0.591173-1.309242j, 1.046759-0.984307j, 1.346743-0.361319j, 1.444476+0.262782j, 1.149419+0.802836j, 0.633030+1.268837j, 0.094996+1.440459j, 0.648142-1.218794j, 1.178237-0.858362j, 1.373680-0.294441j, 1.363207+0.407896j, 1.118061+0.929812j, 0.548713+1.263533j, -0.093755+1.443400j, -0.638363+1.240791j, 1.218949-0.702815j, 1.455919-0.170917j, 1.314608+0.464221j, 0.991103+1.064312j, 0.483959+1.335293j, -0.216003+1.370435j, -0.798261+1.208229j, -1.169587+0.701222j, 1.449966+0.010699j, 1.312248+0.563295j, 0.861634+1.091463j, 0.343482+1.419193j, -0.274645+1.351974j, -0.914547+1.082238j, -1.268808+0.636723j, -1.362614-0.050458j, 1.272050+0.735176j, 0.808345+1.133520j, 0.165103+1.407202j, -0.402212+1.378366j, -0.954222+0.977485j, -1.354010+0.476714j, -1.384942-0.120512j, -1.152084-0.782489j, 0.736109+1.249955j, 0.073962+1.373683j, -0.580571+1.320317j, -1.026077+0.943669j, -1.342377+0.320030j, -1.414318-0.267181j, -1.083936-0.824235j, -0.595591-1.302145j, 
-0.935448-0.953996j, -0.358579-1.391941j, 0.157423-1.403410j, 0.814684-1.063030j, 1.298774-0.706602j, 1.354314-0.102466j, 1.280671+0.641127j, 0.997144+1.077555j, -0.244457-1.320845j, 0.376306-1.424349j, 0.842666-1.070426j, 1.317906-0.484061j, 1.456870+0.015111j, 1.174515+0.658042j, 0.832789+1.231448j, 0.298403+1.376283j, 0.524988-1.284234j, 1.005052-1.054474j, 1.274103-0.419963j, 1.452844+0.240385j, 1.207294+0.720086j, 0.653234+1.232913j, 0.148625+1.487321j, -0.469938+1.275817j, 1.153312-0.886396j, 1.350768-0.389059j, 1.328416+0.356977j, 1.169950+0.915851j, 0.614797+1.213794j, -0.072181+1.455363j, -0.584680+1.328456j, -1.090262+0.807676j, 1.471086-0.223727j, 1.311055+0.376249j, 0.995847+1.042979j, 0.569876+1.343797j, -0.157117+1.352234j, -0.790648+1.274885j, -1.122992+0.807498j, -1.400655+0.104258j, 1.374791+0.509696j, 0.883375+1.024838j, 0.376713+1.443417j, -0.180540+1.384774j, -0.877489+1.101008j, -1.284112+0.732957j, -1.338863+0.058433j, -1.319031-0.636395j, 0.894644+1.075821j, 0.204425+1.388957j, -0.354618+1.449175j, -0.873654+1.035245j, -1.367205+0.525006j, -1.417528+0.002169j, -1.160230-0.696840j, -0.850399-1.202838j, 0.163722+1.354368j, -0.568252+1.346812j, -0.983400+1.050409j, -1.307251+0.390823j, -1.466813-0.207080j, -1.148526-0.708794j, -0.641828-1.258035j, -0.149561-1.432389j, 
